ring_id,member_type,member_id
RING_0518,MERCHANT,8674
RING_0527,USER,64430
RING_0527,USER,58929
RING_0527,USER,85436
RING_0527,MERCHANT,5102
RING_0530,USER,41135
RING_0530,USER,11412
RING_0530,MERCHANT,7517
RING_0535,USER,52158
RING_0535,USER,60393
RING_0535,MERCHANT,6796
RING_0535,MERCHANT,4981
RING_0538,USER,44225
RING_0538,USER,85115
RING_0538,MERCHANT,7982
RING_0542,USER,70016
RING_0542,USER,97837
RING_0542,MERCHANT,6266
RING_0554,USER,83281
RING_0554,USER,52672
RING_0554,USER,49397
RING_0554,MERCHANT,2179
RING_0555,USER,76688
RING_0555,USER,16683
RING_0555,MERCHANT,1661
RING_0560,USER,30005
RING_0560,USER,93864
RING_0560,USER,52604
RING_0560,MERCHANT,3549
RING_0562,USER,89691
RING_0562,USER,37353
RING_0562,MERCHANT,3936
RING_0568,USER,82593
RING_0568,USER,93200
RING_0568,MERCHANT,4776
RING_0573,USER,14131
RING_0573,USER,40675
RING_0573,MERCHANT,2048
RING_0578,USER,19443
RING_0578,USER,92827
RING_0578,MERCHANT,8424
RING_0581,USER,18716
RING_0581,USER,33647
RING_0581,MERCHANT,5134
RING_0581,MERCHANT,9506
RING_0584,USER,97571
RING_0584,USER,68914
RING_0584,USER,89800
RING_0584,MERCHANT,3520
RING_0590,USER,17386
RING_0590,USER,72349
RING_0590,MERCHANT,3722
RING_0597,USER,56938
RING_0597,USER,21123
RING_0597,MERCHANT,6122
RING_0599,USER,17546
RING_0599,USER,65881
RING_0599,MERCHANT,2074
RING_0602,USER,58952
RING_0602,USER,75901
RING_0602,MERCHANT,5056
RING_0606,USER,67852
RING_0606,USER,52854
RING_0606,MERCHANT,4013
RING_0623,USER,89515
RING_0623,USER,53351
RING_0623,MERCHANT,9116
RING_0627,USER,15333
RING_0627,USER,86386
RING_0627,MERCHANT,8217
RING_0629,USER,99495
RING_0629,USER,82772
RING_0629,MERCHANT,3105
RING_0636,USER,26424
RING_0636,USER,69614
RING_0636,MERCHANT,8496
RING_0645,USER,31976
RING_0645,USER,27368
RING_0645,MERCHANT,3078
RING_0647,USER,21400
RING_0647,USER,72244
RING_0647,MERCHANT,8616
RING_0648,USER,20097
RING_0648,USER,54294
RING_0648,MERCHANT,1089
RING_0648,MERCHANT,4669
RING_0650,USER,19463
RING_0650,USER,13681
RING_0650,MERCHANT,7815
RING_0653,USER,49870
RING_0653,USER,77021
RING_0653,MERCHANT,1173
RING_0657,USER,15478
RING_0657,USER,65638
RING_0657,MERCHANT,2820
RING_0670,USER,97322
RING_0670,USER,36884
RING_0670,MERCHANT,2083
RING_0682,USER,87176
RING_0682,USER,13848
RING_0682,MERCHANT,5628
RING_0687,USER,39980
RING_0687,USER,48012
RING_0687,USER,26389
RING_0687,MERCHANT,3285
RING_0689,USER,13270
RING_0689,USER,62190
RING_0689,MERCHANT,2059
RING_0690,USER,30993
RING_0690,USER,63468
RING_0690,MERCHANT,9466
RING_0694,USER,25593
RING_0694,USER,95217
RING_0694,USER,39114
RING_0694,USER,61630
RING_0694,MERCHANT,9572
RING_0702,USER,26521
RING_0702,USER,52868
RING_0702,MERCHANT,2221
RING_0709,USER,91276
RING_0709,USER,45036
RING_0709,MERCHANT,2516
RING_0710,USER,19853
RING_0710,USER,64753
RING_0710,MERCHANT,7671
RING_0711,USER,15168
RING_0711,USER,99547
RING_0711,MERCHANT,6553
RING_0714,USER,41749
RING_0714,USER,21980
RING_0714,MERCHANT,9607
RING_0722,USER,58661
RING_0722,USER,89578
RING_0722,MERCHANT,4870
RING_0723,USER,28594
RING_0723,USER,58434
RING_0723,MERCHANT,7698
RING_0733,USER,93454
RING_0733,USER,62989
RING_0733,USER,10365
RING_0733,MERCHANT,1195
RING_0752,USER,31233
RING_0752,USER,40935
RING_0752,MERCHANT,7786
RING_0757,USER,82159
RING_0757,USER,78003
RING_0757,MERCHANT,9941
RING_0758,USER,19494
RING_0758,USER,51293
RING_0758,MERCHANT,6963
RING_0763,USER,80837
RING_0763,USER,57785
RING_0763,MERCHANT,1898
RING_0764,USER,51470
RING_0764,USER,33667
RING_0764,MERCHANT,6746
RING_0773,USER,94196
RING_0773,USER,97215
RING_0773,MERCHANT,6780
RING_0774,USER,87975
RING_0774,USER,47922
RING_0774,MERCHANT,6939
RING_0778,USER,99256
RING_0778,USER,23614
RING_0778,MERCHANT,9657
RING_0787,USER,80889
RING_0787,USER,25325
RING_0787,MERCHANT,9979
RING_0790,USER,44948
RING_0790,USER,80770
RING_0790,MERCHANT,2986
RING_0794,USER,65177
RING_0794,USER,41813
RING_0794,MERCHANT,8361
RING_0797,USER,97613
RING_0797,USER,83535
RING_0797,MERCHANT,2400
RING_0803,USER,33979
RING_0803,USER,35221
RING_0803,MERCHANT,1971
RING_0806,USER,93802
RING_0806,USER,52813
RING_0806,MERCHANT,5057
RING_0812,USER,32125
RING_0812,USER,29739
RING_0812,USER,37202
RING_0812,MERCHANT,2497
RING_0819,USER,26546
RING_0819,USER,54734
RING_0819,MERCHANT,2884
RING_0834,USER,25501
RING_0834,USER,94218
RING_0834,MERCHANT,4059
RING_0834,MERCHANT,4426
RING_0843,USER,53948
RING_0843,USER,35762
RING_0843,MERCHANT,9431
RING_0853,USER,45084
RING_0853,USER,76968
RING_0853,MERCHANT,1537
RING_0855,USER,26926
RING_0855,USER,94833
RING_0855,MERCHANT,5231
RING_0857,USER,12116
RING_0857,USER,72384
RING_0857,MERCHANT,9495
RING_0865,USER,41275
RING_0865,USER,15405
RING_0865,MERCHANT,4395
RING_0872,USER,22955
RING_0872,USER,82423
RING_0872,MERCHANT,6637
RING_0872,MERCHANT,4284
RING_0872,MERCHANT,6318
RING_0879,USER,13943
RING_0879,USER,47547
RING_0879,MERCHANT,2900
RING_0880,USER,83578
RING_0880,USER,33631
RING_0880,MERCHANT,8267
RING_0890,USER,52299
RING_0890,USER,68547
RING_0890,MERCHANT,6960
RING_0903,USER,83227
RING_0903,USER,58773
RING_0903,MERCHANT,9533
RING_0906,USER,34215
RING_0906,USER,35787
RING_0906,MERCHANT,3325
RING_0914,USER,87610
RING_0914,USER,97108
RING_0914,MERCHANT,3668
RING_0916,USER,99390
RING_0916,USER,74291
RING_0916,MERCHANT,1708
RING_0929,USER,82876
RING_0929,USER,24536
RING_0929,MERCHANT,8776
RING_0937,USER,51254
RING_0937,USER,88142
RING_0937,MERCHANT,5542
RING_0952,USER,76631
RING_0952,USER,28326
RING_0952,MERCHANT,3771
RING_0954,USER,88518
RING_0954,USER,86881
RING_0954,MERCHANT,8505
RING_0959,USER,79526
RING_0959,USER,53970
RING_0959,MERCHANT,4011
RING_0962,USER,97854
RING_0962,USER,89876
RING_0962,MERCHANT,5553
RING_0964,USER,60793
RING_0964,USER,37694
RING_0964,MERCHANT,6064
RING_0968,USER,75130
RING_0968,USER,46267
RING_0968,MERCHANT,5474
RING_0973,USER,74032
RING_0973,USER,26943
RING_0973,MERCHANT,1760
RING_0982,USER,63589
RING_0982,USER,86210
RING_0982,MERCHANT,7273
RING_0990,USER,49846
RING_0990,USER,87415
RING_0990,MERCHANT,6972
RING_0991,USER,84060
RING_0991,USER,13385
RING_0991,MERCHANT,7119
RING_0998,USER,73065
RING_0998,USER,30565
RING_0998,MERCHANT,8834
RING_0999,USER,45133
RING_0999,USER,42248
RING_0999,MERCHANT,9509
RING_1002,USER,17472
RING_1002,USER,12919
RING_1002,MERCHANT,2098
RING_1004,USER,49678
RING_1004,USER,58272
RING_1004,MERCHANT,7933
RING_1007,USER,68058
RING_1007,USER,77709
RING_1007,MERCHANT,5422
RING_1016,USER,25951
RING_1016,USER,86779
RING_1016,MERCHANT,2301
RING_1018,USER,15528
RING_1018,USER,70222
RING_1018,MERCHANT,7989
RING_1020,USER,23767
RING_1020,USER,81368
RING_1020,MERCHANT,3987
RING_1028,USER,53656
RING_1028,USER,62282
RING_1028,MERCHANT,8855
RING_1029,USER,69852
RING_1029,USER,91617
RING_1029,MERCHANT,5556
RING_1032,USER,36254
RING_1032,USER,25722
RING_1032,MERCHANT,7436
RING_1035,USER,75038
RING_1035,USER,11146
RING_1035,MERCHANT,9075
RING_1040,USER,61949
RING_1040,USER,71198
RING_1040,MERCHANT,9548
RING_1041,USER,52034
RING_1041,USER,46699
RING_1041,USER,16731
RING_1041,MERCHANT,9955
RING_1043,USER,58610
RING_1043,USER,27106
RING_1043,USER,47930
RING_1043,MERCHANT,3281
RING_1044,USER,18773
RING_1044,USER,97123
RING_1044,MERCHANT,3745
RING_1054,USER,85221
RING_1054,USER,26110
RING_1054,MERCHANT,4089
RING_1067,USER,21627
RING_1067,USER,98121
RING_1067,MERCHANT,9592
RING_1083,USER,56129
RING_1083,USER,14856
RING_1083,MERCHANT,6209
RING_1087,USER,41230
RING_1087,USER,77237
RING_1087,MERCHANT,5335
RING_1093,USER,16730
RING_1093,USER,98440
RING_1093,MERCHANT,2463
RING_1123,USER,59386
RING_1123,USER,13039
RING_1123,MERCHANT,6257
RING_1128,USER,73475
RING_1128,USER,37520
RING_1128,MERCHANT,5891
RING_1135,USER,30397
RING_1135,USER,52054
RING_1135,MERCHANT,5342
RING_1150,USER,36504
RING_1150,USER,54602
RING_1150,MERCHANT,6095
RING_1154,USER,10402
RING_1154,USER,34225
RING_1154,MERCHANT,1041
RING_1158,USER,88323
RING_1158,USER,11575
RING_1158,MERCHANT,4980
RING_1164,USER,73126
RING_1164,USER,78762
RING_1164,MERCHANT,2681
RING_1166,USER,91091
RING_1166,USER,21853
RING_1166,MERCHANT,3213
RING_1167,USER,30903
RING_1167,USER,41546
RING_1167,MERCHANT,2001
RING_1197,USER,63855
RING_1197,USER,75061
RING_1197,MERCHANT,5748
RING_1198,USER,95420
RING_1198,USER,94651
RING_1198,MERCHANT,2269
RING_1213,USER,19667
RING_1213,USER,85149
RING_1213,MERCHANT,6726
RING_1217,USER,70689
RING_1217,USER,63213
RING_1217,MERCHANT,6948
RING_1225,USER,64833
RING_1225,USER,34009
RING_1225,MERCHANT,9040
RING_1226,USER,49642
RING_1226,USER,35469
RING_1226,MERCHANT,8466
RING_1232,USER,84276
RING_1232,USER,80178
RING_1232,MERCHANT,3140
RING_1236,USER,64274
RING_1236,USER,91139
RING_1236,MERCHANT,6527
RING_1270,USER,65765
RING_1270,USER,15038
RING_1270,MERCHANT,3947
RING_1284,USER,67402
RING_1284,USER,18860
RING_1284,MERCHANT,8810
RING_1289,USER,41779
RING_1289,USER,88572
RING_1289,MERCHANT,8156
RING_1295,USER,58117
RING_1295,USER,72259
RING_1295,MERCHANT,5429
RING_1308,USER,88820
RING_1308,USER,83580
RING_1308,MERCHANT,6715
RING_1312,USER,17075
RING_1312,USER,58128
RING_1312,MERCHANT,6092
RING_1319,USER,64264
RING_1319,USER,55686
RING_1319,MERCHANT,2004
RING_1322,USER,78718
RING_1322,USER,86619
RING_1322,MERCHANT,4342
RING_1323,USER,44960
RING_1323,USER,70411
RING_1323,MERCHANT,4473
RING_1326,USER,89343
RING_1326,USER,11619
RING_1326,MERCHANT,9606
RING_1327,USER,16352
RING_1327,USER,88372
RING_1327,MERCHANT,6114
RING_1336,USER,65137
RING_1336,USER,91913
RING_1336,MERCHANT,7697
RING_1351,USER,26071
RING_1351,USER,19884
RING_1351,MERCHANT,8715
RING_1352,USER,51651
RING_1352,USER,17049
RING_1352,MERCHANT,2598
RING_1357,USER,11063
RING_1357,USER,15771
RING_1357,MERCHANT,4074
RING_1362,USER,17716
RING_1362,USER,73203
RING_1362,MERCHANT,4921
RING_1387,USER,35873
RING_1387,USER,51592
RING_1387,MERCHANT,5750
RING_1395,USER,24860
RING_1395,USER,24936
RING_1395,MERCHANT,5917
RING_1429,USER,33746
RING_1429,USER,59428
RING_1429,MERCHANT,5017
RING_1435,USER,32457
RING_1435,USER,34112
RING_1435,MERCHANT,8119
RING_1465,USER,15392
RING_1465,USER,51735
RING_1465,MERCHANT,1430
RING_1500,USER,93634
RING_1500,USER,35704
RING_1500,MERCHANT,5953
RING_1543,USER,40499
RING_1543,USER,52859
RING_1543,MERCHANT,8232
RING_1551,USER,67571
RING_1551,USER,81683
RING_1551,MERCHANT,7444
RING_1552,USER,15768
RING_1552,USER,14920
RING_1552,MERCHANT,8763
RING_1566,USER,84098
RING_1566,USER,60475
RING_1566,MERCHANT,3096
RING_1575,USER,56807
RING_1575,USER,63408
RING_1575,MERCHANT,8656
RING_1586,USER,37537
RING_1586,USER,77146
RING_1586,MERCHANT,2529
RING_1589,USER,41373
RING_1589,USER,20190
RING_1589,MERCHANT,6523
RING_1608,USER,93008
RING_1608,USER,68525
RING_1608,MERCHANT,5111
RING_1635,USER,98564
RING_1635,USER,73688
RING_1635,MERCHANT,1113
RING_1656,USER,32716
RING_1656,USER,77658
RING_1656,MERCHANT,5009
RING_1676,USER,29672
RING_1676,USER,97136
RING_1676,MERCHANT,9861
RING_1702,USER,10449
RING_1702,USER,81201
RING_1702,MERCHANT,2231
RING_1734,USER,97155
RING_1734,USER,97036
RING_1734,MERCHANT,1916
RING_1774,USER,29842
RING_1774,USER,47361
RING_1774,MERCHANT,9183
RING_1784,USER,79866
RING_1784,USER,15928
RING_1784,MERCHANT,7366
RING_1793,USER,45703
RING_1793,USER,22883
RING_1793,MERCHANT,5362
RING_1846,USER,91537
RING_1846,USER,13957
RING_1846,MERCHANT,5761
RING_1851,USER,12021
RING_1851,USER,94673
RING_1851,MERCHANT,8824
RING_1880,USER,73249
RING_1880,USER,41508
RING_1880,MERCHANT,7078
RING_1890,USER,39561
RING_1890,USER,22165
RING_1890,MERCHANT,5188
RING_1909,USER,18886
RING_1909,USER,37969
RING_1909,MERCHANT,5751
RING_1916,USER,15546
RING_1916,USER,41986
RING_1916,MERCHANT,4530
RING_1951,USER,41272
RING_1951,USER,59989
RING_1951,MERCHANT,1527
RING_2029,USER,85095
RING_2029,USER,64590
RING_2029,MERCHANT,4060
RING_2063,USER,52102
RING_2063,USER,74563
RING_2063,MERCHANT,4434
RING_2088,USER,58993
RING_2088,USER,81669
RING_2088,MERCHANT,4546
