date,transaction_count,transaction_amount,average_transaction_value,failed_count,pending_count,chargeback_count,disputed_amount,failed_rate,chargeback_ratio
2026-03-14,216,2517393.98,11654.60175925926,24,11,30.0,93565.08,0.1111111111111111,0.1388888888888889
2026-03-15,209,2313532.89,11069.535358851675,14,7,37.0,93071.01999999999,0.06698564593301436,0.17703349282296652
2026-03-16,254,3344639.0,13167.870078740158,27,11,33.0,72251.31999999999,0.1062992125984252,0.12992125984251968
2026-03-17,209,2367573.86,11328.104593301436,24,6,35.0,118023.28,0.11483253588516747,0.1674641148325359
2026-03-18,231,2883697.46,12483.538787878788,24,8,37.0,78019.25,0.1038961038961039,0.16017316017316016
2026-03-19,216,2642136.23,12232.112175925926,22,7,35.0,106114.67,0.10185185185185185,0.16203703703703703
2026-03-20,232,2604434.74,11226.01181034483,24,13,25.0,46529.36,0.10344827586206896,0.10775862068965517
2026-03-21,226,2581973.09,11424.659690265486,24,10,29.0,92733.39,0.10619469026548672,0.12831858407079647
2026-03-22,198,2545019.16,12853.632121212122,24,9,35.0,95195.84999999999,0.12121212121212122,0.17676767676767677
2026-03-23,206,2667763.55,12950.30849514563,15,13,25.0,48673.67,0.07281553398058252,0.12135922330097088
2026-03-24,216,2768962.1,12819.268981481482,19,8,31.0,100500.96,0.08796296296296297,0.14351851851851852
2026-03-25,213,2689947.15,12628.859859154929,19,3,30.0,104242.92,0.0892018779342723,0.14084507042253522
2026-03-26,214,2777006.87,12976.667616822431,24,9,30.0,80405.49,0.11214953271028037,0.14018691588785046
2026-03-27,225,2546381.64,11317.251733333334,22,5,27.0,32865.05,0.09777777777777778,0.12
2026-03-28,199,2439466.59,12258.62608040201,19,8,25.0,53985.68,0.09547738693467336,0.12562814070351758
2026-03-29,200,2396663.82,11983.319099999999,20,7,34.0,59272.01,0.1,0.17
2026-03-30,210,2462678.73,11727.041571428572,24,7,19.0,54382.020000000004,0.11428571428571428,0.09047619047619047
2026-03-31,233,2789000.96,11969.961201716738,20,6,23.0,61447.52,0.08583690987124463,0.09871244635193133
